"Indikator","Ausprägung","Jahr","Raumbezug","Indikatorwert","Basiswert.1","Basiswert.2","Basiswert.3","Basiswert.4","Basiswert.5","Name.Basiswert.1","Name.Basiswert.2","Name.Basiswert.3","Name.Basiswert.4","Name.Basiswert.5"
"Altersgruppen","bis 17 Jahre",2021,"07 Sendling - Westpark",15,9089,60540,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"08 Schwanthalerhöhe",13.9,4013,28870,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"09 Neuhausen - Nymphenburg",14.7,14609,99415,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"10 Moosach",15.6,8560,54928,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"11 Milbertshofen - Am Hart",15.1,11425,75658,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"12 Schwabing - Freimann",15.2,11791,77701,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"13 Bogenhausen",16.6,15404,92593,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"14 Berg am Laim",16.2,7556,46769,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"15 Trudering - Riem",20.1,15044,74884,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"16 Ramersdorf - Perlach",17.2,20336,118010,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"17 Obergiesing - Fasangarten",14.2,7568,53483,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"18 Untergiesing - Harlaching",13.9,7343,52999,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"19 Thalkirchen - Obersendling - Forstenried - Fürstenried - Solln",15.7,15548,99260,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"20 Hadern",15.2,7645,50290,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"21 Pasing - Obermenzing",17.3,13565,78232,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"22 Aubing - Lochhausen - Langwied",19.3,10008,51786,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"23 Allach - Untermenzing",18.8,6510,34566,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"24 Feldmoching - Hasenbergl",18.2,11302,62192,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2021,"25 Laim",13.2,7355,55881,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2020,"Stadt München",15.3,238912,1562096,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2020,"01 Altstadt - Lehel",12,2524,20960,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2020,"02 Ludwigsvorstadt - Isarvorstadt",11.8,6106,51547,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2020,"03 Maxvorstadt",9.8,5066,51530,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2020,"04 Schwabing - West",12.8,8832,68750,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2020,"05 Au - Haidhausen",14.1,8773,62353,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2020,"06 Sendling",13,5334,40916,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2020,"07 Sendling - Westpark",15,9075,60468,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
"Altersgruppen","bis 17 Jahre",2020,"08 Schwanthalerhöhe",13.9,4085,29328,NA,NA,NA,"Hauptwohnsitzbevölkerung (bis 17 Jahre)","Hauptwohnsitzbevölkerung (insgesamt)",NA,NA,NA
